No.,LOCALIDAD,TIPO DE PARQUE,NOMBRE DEL PARQUE O ESCENARIO,DIRECCIÓN,TELÉFONO DEL PARQUE,CORREO INSTITUCIONAL
1,01 - USAQUÉN,ZONAL,ALTA BLANCA,Carrera 8A #158-04,(601)6789452,altablanca@idrd.gov.co
2,01 - USAQUÉN,VECINAL,DESARROLLO ESTRELLA DEL NORTE,Calle 159A #19B-60,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
3,01 - USAQUÉN,VECINAL,DESARROLLO VERBENAL I,Calle 187 #19-22,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
4,01 - USAQUÉN,METROPOLITANO,EL COUNTRY,Avenida Calle 127 #11D-90,(601)6482241,country@idrd.gov.co
5,01 - USAQUÉN,ZONAL,LA VIDA,Carrera 14A #157-98,,lavida@idrd.gov.co
6,01 - USAQUÉN,ZONAL,NUEVA AUTOPISTA,Carrera 23 #136-18,,nuevaautopista@idrd.gov.co
7,01 - USAQUÉN,VECINAL,NUEVA URBANIZACIÓN EL CEDRITO,Calle 145 #9-90,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
8,01 - USAQUÉN,ZONAL,SERVITA,Calle 165 #7-76,(601)6701510,servita@idrd.gov.co
9,01 - USAQUÉN,VECINAL,URBANIZACIÓN CALLE 170 / ALAMEDA,Calle 175 #17-11,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
10,01 - USAQUÉN,VECINAL,URBANIZACIÓN TOBERIN,Calle 164 #16c-16,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
11,02 - CHAPINERO,ZONAL,CANAL EL VIRREY EL CHICO,Carrera 15 #88-02,,canalelvirrey-chico@idrd.gov.co
12,02 - CHAPINERO,ZONAL,GUSTAVO URIBE BOTERO,Carrera 1 #70-11,,gustavouribe@idrd.gov.co
13,02 - CHAPINERO,ZONAL,SUCRE O HIPPIES,Calle 60 #7-49,,sucreohippies@idrd.gov.co
14,02 - CHAPINERO,VECINAL,URBANIZACIÓN LA CABRERA,Carrera 11 #86A-43,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
15,03 - SANTA FE,VECINAL,DESARROLLO LOS LACHES,Diagonal 5A #8-30 Este,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
16,03 - SANTA FE,VECINAL,DESARROLLO LOURDES,Carrera 1a Este con Avenida calle 3,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
17,03 - SANTA FE,METROPOLITANO,INDEPENDENCIA BICENTENARIO,Calle 26b #5-87,,independencia@idrd.gov.co
18,03 - SANTA FE,ZONAL,LAS CRUCES,Carrera 5A #1-90,(601)2800004,lascruces@idrd.gov.co
19,03 - SANTA FE,ZONAL,LOS LACHES LA MINA,Calle 5 con Carrera 8 Este,,lacheslamina@idrd.gov.co
20,03 - SANTA FE,METROPOLITANO,PARQUE NACIONAL (PM2A) ENRIQUE OLAYA HERRERA (SECTOR HISTORICO),Carrera 7 #37-04,(601)2454851,parque.nacional@idrd.gov.co
21,03 - SANTA FE,ESCENARIO DEPORTIVO,PLAZA DE TOROS,Carrera 6 #26B-50,(601)2837433,plazadetoros@idrd.gov.co
22,03 - SANTA FE,ZONAL,SENDERO A MONSERRATE,Carrera 3 Este con Vía Monserrate,,senderoamonserrate@idrd.gov.co
23,03 - SANTA FE,METROPOLITANO,TERCER MILENIO,Calle 9 #11-85,(601)3340408,tercermilenio@idrd.gov.co
24,04 - SAN CRISTÓBAL,METROPOLITANO,CEFE SAN CRISTOBAL,Carrera 3 Este con Calle 17A Sur,(601)4413804 ,cefe.sancristobal@idrd.gov.co
25,04 - SAN CRISTÓBAL,METROPOLITANO,DEPORTIVO PRIMERO DE MAYO,Carrera 5 Bis #17-14,(601)2395308,velodromoprimerademayo@idrd.gov.co
26,04 - SAN CRISTÓBAL,ZONAL,GAITAN CORTES,Diagonal 31C Sur #5A-20 Este,(601)2062481,gaitancortes@idrd.gov.co
27,04 - SAN CRISTÓBAL,ZONAL,LA VICTORIA,Carrera 2 Este con Calle 37a Bis Sur,,lavictoria@idrd.gov.co
28,04 - SAN CRISTÓBAL,ZONAL,MORALBA,Calle 42c Sur con Carrera 16b Este,,moralba@idrd.gov.co
29,04 - SAN CRISTÓBAL,METROPOLITANO,SAN CRISTOBAL,Carrera 3 Este con Calle 17A Sur,(601)2720364,sancristobal@idrd.gov.co
30,04 - SAN CRISTÓBAL,VECINAL,URBANIZACIÓN ANTIOQUIA,Transversal 8 Este con Carrera 6b Este,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
31,04 - SAN CRISTÓBAL,ZONAL,VILLA DE LOS ALPES,Carrera 3b con Diagonal 33c Sur,(601)3620998,villadelosalpes@idrd.gov.co
32,05 - USME,VECINAL,ALFONSO LOPEZ SECTOR LA ALBORADA,Carrera 5g Bis Este con Calle 93 Sur,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
33,05 - USME,VECINAL,CIUDAD NUEVO MILENIO I,"Carrera 11 con Calle 67a Bis Sur, Usme",(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
34,05 - USME,VECINAL,CIUDADELA NUEVO USME I,"Carrera 3 Bis A con Calle 137 C Sur, Usme",(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
35,05 - USME,ZONAL,EL VIRREY SUR,Calle 93 Sur con Carrera 3a Este,(601)2002020,virreysur@idrd.gov.co
36,05 - USME,ZONAL,FAMACO,Calle 91 Sur con Carrera 5A,,famaco@idrd.gov.co
37,05 - USME,ZONAL,LA ANDREA,Carrera 1h Bis A Este con Calle 79 Sur,(601)7689707,laandrea@idrd.gov.co
38,05 - USME,ZONAL,LA AURORA II,Calle 71 F Sur con Carrera 14v,(601)7610925,laaurora@idrd.gov.co
39,05 - USME,VECINAL,MIRAVALLE,Carrera 14C con Calle 76 Sur,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
40,05 - USME,ZONAL,SAN CAYETANO,Calle 74 Sur con Diagonal 74a Bis Sur,,sancayetano@idrd.gov.co
41,05 - USME,ZONAL,VALLES DE CAFAM,Diagonal 92 Sur con Calle 92 Sur,(601)2001113,vallesdecafam@idrd.gov.co
42,05 - USME,ZONAL,VILLA ALEMANA,Diagonal 100 Bis Sur con Carrera 5 Este,(601)7626284,villaalemana@idrd.gov.co
43,06 - TUNJUELITO,METROPOLITANO,CEFE EL TUNAL,"Carrera 56 sur #23-49,Bogota",(601)4413799 - (601)4413800,cefe.tunal@idrd.gov.co
44,06 - TUNJUELITO,METROPOLITANO,EL TUNAL,"Carrera 56 sur #23-49,Bogota",(601)2702867,eltunal@idrd.gov.co
45,06 - TUNJUELITO,ZONAL,NUEVO MUZU,Carrera 61B con Diagonal 52b Sur,(601)2702867,nuevomuzu@idrd.gov.co
46,06 - TUNJUELITO,VECINAL,URBANIZACIÓN LA LAGUNA,Carrera 53A #48-24,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
47,06 - TUNJUELITO,VECINAL,URBANIZACIÓN LAS LAGUNETA,Diagonal 49 Sur #56-1,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
48,06 - TUNJUELITO,VECINAL,URBANIZACIÓN TUNJUELITO,Carrera 12C #59-05,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
